,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
31,1452423439,523.0,10,0,314.0,16,2,252.0,20,0,266.0,19,1
32,-98222218,335.0,8,0,282.0,10,1,266.0,8,0,369.0,11,1
33,-1914793881,250.0,21,0,219.0,12,1,307.0,12,0,376.0,15,2
34,246536437,263.0,5,0,293.0,21,2,300.0,18,0,317.0,21,2
35,344392190,270.0,19,0,288.0,8,3,246.0,10,0,338.0,10,1
36,-1133785398,322.0,7,0,229.0,6,3,261.0,6,0,215.0,6,1
37,-1940992132,270.0,12,0,255.0,13,0,255.0,13,0,255.0,13,0
38,1833985201,256.0,10,0,303.0,11,0,303.0,11,0,303.0,11,0
39,-352805886,265.0,18,0,262.0,20,1,335.0,21,0,319.0,20,1
40,-636095526,280.0,23,0,212.0,22,1,378.0,22,0,383.0,24,1
41,-1182842172,265.0,13,0,221.0,11,1,276.0,10,0,252.0,10,1
42,1546321979,273.0,18,0,272.0,18,2,351.0,19,0,268.0,18,2
43,-616288173,377.0,14,0,258.0,13,1,261.0,12,0,255.0,13,1
44,-1827389512,326.0,21,0,340.0,16,1,318.0,15,0,319.0,15,1
45,-428681540,275.0,12,0,318.0,9,0,318.0,9,0,318.0,9,0
46,-33952140,512.0,14,0,225.0,11,3,260.0,13,0,279.0,12,2
47,-11934663,259.0,8,0,310.0,12,5,260.0,15,0,257.0,16,1
48,1582512103,259.0,9,0,290.0,16,0,290.0,16,0,290.0,16,0
49,-1866386086,490.0,16,0,221.0,9,2,288.0,9,0,294.0,11,2
50,-1191279711,266.0,11,0,244.0,33,1,272.0,39,0,256.0,31,1
51,-1339962457,335.0,9,0,268.0,14,2,322.0,13,0,314.0,12,2
52,-256108496,270.0,9,0,317.0,13,0,317.0,13,0,317.0,13,0
53,-2047936996,257.0,7,0,263.0,16,0,263.0,16,0,263.0,16,0
54,357249873,307.0,12,0,257.0,23,2,315.0,22,0,354.0,18,3
55,-1055077587,520.0,10,0,278.0,9,1,312.0,9,0,254.0,11,1
56,1418722833,349.0,14,0,268.0,20,1,275.0,17,0,319.0,18,1
57,-1215677327,503.0,13,0,376.0,15,2,314.0,15,0,313.0,15,2
58,-1195940255,496.0,24,0,285.0,29,0,285.0,29,0,285.0,29,0
59,1818518189,261.0,9,0,234.0,21,2,301.0,22,0,289.0,30,0
60,-63836232,252.0,10,0,263.0,15,1,292.0,14,0,206.0,14,1
61,1748289514,330.0,12,0,256.0,12,1,347.0,17,0,256.0,16,1
62,-63390281,279.0,9,0,262.0,22,3,222.0,20,0,257.0,17,3
63,-31393677,261.0,14,0,223.0,16,4,263.0,15,0,273.0,16,2
64,776345664,276.0,17,0,233.0,19,1,300.0,17,0,282.0,16,1
65,-40860806,262.0,10,0,266.0,6,3,303.0,6,0,268.0,6,1
66,-500088810,501.0,17,0,252.0,19,1,252.0,16,0,321.0,19,0
67,944162312,324.0,17,0,262.0,9,2,270.0,8,0,324.0,9,0
68,-87457384,264.0,13,0,260.0,24,0,260.0,24,0,260.0,24,0
69,352489350,256.0,10,0,314.0,12,1,261.0,15,0,438.0,13,1
70,2002283408,330.0,15,0,278.0,17,1,265.0,17,0,290.0,20,2
71,60679339,250.0,10,0,272.0,10,2,314.0,13,0,280.0,14,1
72,-155866794,257.0,14,0,275.0,13,1,257.0,16,0,262.0,16,0
73,-1156653045,283.0,9,0,214.0,15,2,252.0,13,0,325.0,14,3
74,-158439226,254.0,15,0,342.0,11,1,216.0,11,0,249.0,11,1
75,-1445723741,268.0,9,0,256.0,12,3,337.0,18,0,270.0,19,2
76,-3827780,313.0,14,0,286.0,17,1,265.0,20,0,277.0,19,0
77,-145667350,259.0,9,0,332.0,12,2,339.0,13,0,281.0,13,2
