,random_seed,no-support_evacuation_time,no-support_victims,no-support_staff_requests,staff-support_evacuation_time,staff-support_victims,staff-support_staff_requests,passenger-support_evacuation_time,passenger-support_victims,passenger-support_staff_requests,adaptive-support_evacuation_time,adaptive-support_victims,adaptive-support_staff_requests
33,383791619,260.0,15,0,256.0,13,0,256.0,13,0,256.0,13,0
34,1758050943,291.0,11,0,266.0,11,2,268.0,8,0,312.0,9,2
35,1043169441,337.0,11,0,361.0,25,2,281.0,27,0,260.0,25,2
36,108273055,270.0,15,0,309.0,10,3,268.0,10,0,361.0,9,2
37,-1926213513,259.0,12,0,378.0,14,1,274.0,14,0,264.0,14,1
38,1233763689,247.0,13,0,323.0,16,1,250.0,11,0,313.0,14,1
39,-1763143259,500.0,11,0,257.0,17,1,270.0,16,0,316.0,17,1
40,-1286674499,257.0,9,0,278.0,10,2,268.0,10,0,312.0,9,3
41,97978481,276.0,12,0,414.0,8,2,362.0,9,0,259.0,8,0
42,-607053908,236.0,9,0,261.0,18,2,289.0,22,0,267.0,19,2
43,-1329947629,260.0,19,0,214.0,11,0,214.0,11,0,214.0,11,0
44,502108927,265.0,12,0,323.0,11,1,319.0,13,0,306.0,13,1
45,-866075691,327.0,16,0,267.0,8,0,267.0,8,0,267.0,8,0
46,-771116916,301.0,27,0,255.0,8,2,374.0,6,0,257.0,7,0
47,116664551,315.0,19,0,280.0,12,2,230.0,12,0,263.0,12,2
48,-1985381435,371.0,15,0,220.0,15,2,276.0,12,0,258.0,16,2
49,577290,267.0,15,0,313.0,15,1,254.0,16,0,259.0,20,1
50,-1426833144,313.0,10,0,261.0,11,3,260.0,11,0,254.0,11,3
51,-1663930010,369.0,9,0,268.0,15,2,252.0,11,0,288.0,11,1
52,1027059206,273.0,10,0,253.0,12,3,445.0,13,0,319.0,12,4
53,-850776695,388.0,18,0,278.0,23,3,329.0,20,0,228.0,20,0
54,977780402,301.0,11,0,288.0,13,1,254.0,13,0,253.0,14,1
55,-215482067,492.0,8,0,344.0,6,4,256.0,4,0,319.0,7,1
56,442946591,262.0,12,0,330.0,18,2,322.0,14,0,258.0,17,1
57,-2104661125,363.0,14,0,293.0,10,1,264.0,9,0,261.0,9,3
58,-451760996,302.0,8,0,258.0,6,2,317.0,6,0,235.0,8,3
59,1472317032,292.0,9,0,252.0,17,1,228.0,17,0,448.0,17,1
60,-743468341,369.0,11,0,257.0,12,0,257.0,12,0,257.0,12,0
61,746074913,268.0,12,0,264.0,18,0,264.0,18,0,264.0,18,0
62,232571464,266.0,13,0,262.0,16,2,317.0,16,0,237.0,16,2
63,-2025988647,264.0,19,0,316.0,9,1,297.0,9,0,416.0,8,2
64,998410037,304.0,11,0,321.0,12,1,272.0,12,0,352.0,12,1
65,-984327169,274.0,16,0,283.0,10,3,270.0,7,0,357.0,10,2
66,554101272,306.0,12,0,341.0,11,3,263.0,15,0,256.0,12,2
67,1818540397,330.0,11,0,261.0,10,2,336.0,12,0,257.0,13,1
68,-291271127,371.0,13,0,254.0,8,1,269.0,8,0,335.0,11,1
69,1581900056,522.0,9,0,261.0,7,3,266.0,10,0,262.0,7,1
70,-1979787875,268.0,10,0,373.0,12,3,249.0,14,0,322.0,13,1
71,-1355424321,268.0,12,0,268.0,8,3,400.0,13,0,269.0,15,3
72,1117762203,266.0,13,0,323.0,17,4,332.0,18,0,266.0,16,5
73,-1906712210,500.0,12,0,258.0,14,2,269.0,15,0,340.0,20,1
74,-2138261310,256.0,9,0,273.0,7,4,260.0,6,0,298.0,9,3
75,1960758562,269.0,9,0,375.0,18,2,332.0,17,0,363.0,18,2
76,1315294528,267.0,12,0,219.0,6,1,398.0,6,0,273.0,7,2
77,-493693807,274.0,22,0,320.0,18,2,284.0,15,0,259.0,14,1
78,-924487740,271.0,6,0,322.0,15,3,278.0,16,0,283.0,17,3
79,265925812,265.0,19,0,358.0,13,2,284.0,10,0,279.0,12,2
80,1578933698,494.0,12,0,314.0,10,2,319.0,10,0,315.0,11,1
81,-1785973583,312.0,14,0,231.0,8,2,269.0,8,0,403.0,9,1
